RESPONSE_ID,USER_ID,CUSTOMER_ID,CRM_PRODUCT_TIER,SALES_PRODUCT_TIER,MARKETING_PRODUCT_TIER,PRODUCT_ADDONS,SCREEN_SIZE,USER ROLE,LANGUAGE
12883314,1,62175,none,none,none,,1600x900,,en
13291804,2,1143396,free,pro,pro,,1920x1080,,en-us
12880156,3,109137,free,pro,enterprise,ads,1280x800,Executive / Management,nl
13235515,4,567072,free,free,enterprise,ads,1920x1080,Partner / Agency / Freelancer,en
12940047,5,205140,free,pro,enterprise,,1920x1080,Partner / Agency / Freelancer,en
13964780,6,10474230,free,starter,free,,1536x864,,en
14129785,7,1165641,free,free,enterprise,,1440x900,,en-us
14004816,8,125283,free,free,pro,,1366x768,I do a little bit of everything,en
14391711,9,189690,free,pro,none,sites,1536x864,Executive / Management,en
13616089,10,114213,free,free,enterprise,reporting,1280x800,,en
13510842,11,98388,free,free,pro,,1680x1050,,en
13481227,12,235731,free,free,enterprise,,1280x720,,en
13172764,13,2973,none,none,none,,1920x1080,,en
12850545,14,209307,free,pro,none,,2560x1440,,en
13485539,15,135411,free,pro,enterprise,ads,1920x1080,Executive / Management,en
14153635,16,11532915,free,pro,pro,reporting,1920x1080,,en
14361355,17,12402423,free,free,free,,1280x800,Partner / Agencia / Freelancer,es-xl
14355568,18,273756,free,free,enterprise,sites,1600x900,Executive / Management,en
14275977,19,275082,free,starter,enterprise,sites,1920x1080,Executive / Management,en
14235243,20,343503,free,free,pro,sites,1440x900,,en-us
13531603,21,289956,none,none,none,,1280x800,,en
13437719,22,328302,free,pro,enterprise,,1600x900,Executive / Management,en
13434074,23,337965,free,free,none,,1344x840,Executive / Management,en
14253110,24,394950,free,pro,pro,sites,1787x1005,Executive / Management,en
13845737,25,454047,free,free,pro,,1536x864,,en
12986477,26,370344,free,pro,enterprise,,1280x720,Salesperson,en
13486309,27,5890791,free,pro,pro,,1440x900,,en-us
12966431,28,394326,free,free,basic,reporting,1440x900,,en
13737539,29,687393,free,pro,pro,,1366x768,I do a little bit of everything,en
13778155,30,10712805,free,pro,free,,1920x1080,,en
13328500,31,447393,free,free,pro,,1536x864,Partner / Agency / Freelancer,en
13079236,32,7404318,free,pro,free,,1368x912,,en-us
14143473,33,449955,free,pro,pro,sites,1366x768,,en
13780013,34,370344,free,pro,enterprise,,1536x864,Other,en-us
13766485,35,460179,free,pro,enterprise,reporting,1920x1080,Executive / Management,en
13018800,36,482781,free,pro,basic,,1440x900,Executive / Management,en
13139241,37,10751484,free,pro,pro,,1536x864,Executive / Management,en
14081659,38,469284,free,free,pro,,1920x1080,,en-us
12911472,39,10772676,free,free,none,,1366x768,Executive / Management,en
13930457,40,685173,free,pro,enterprise,reporting,1800x1200,Executive / Management,en
14187477,41,498126,free,free,pro,sites,1280x720,Executive / Management,en
13652618,42,86523,free,pro,pro,reporting,2560x1440,Executive / Management,en-us
14210873,43,473349,free,free,enterprise,sites,1920x1080,Marketer,en
13494026,44,1508358,free,pro,pro,,1280x800,Executive / Management,it
14277015,45,362730,free,pro,pro,ads|sites,1280x800,,en-us
13899682,46,500016,free,pro,pro,,768x1024,Executive / Management,en-us
13015473,47,12414978,free,free,pro,,1280x800,,sv
13172576,48,505488,free,free,pro,,1360x768,Executive / Management,en
13201557,49,976791,free,pro,basic,,1440x900,Executive / Management,en
14248836,50,525747,free,free,pro,sites,1920x1080,,en
14242086,51,518808,free,pro,pro,sites,1280x720,Marketer,en
12963466,52,7504356,free,free,pro,,1920x1080,,de
13675941,53,535929,free,free,pro,,1366x768,Marketer,en
14205045,54,10365573,free,free,basic,sites,1920x1200,,de
14032370,55,450660,free,pro,basic,,1152x720,Executive / Management,en-us
13371241,56,369483,free,pro,pro,reporting,1920x1080,,en-us
14291651,57,8811897,none,none,pro,,1366x768,,en
13263454,58,363942,free,free,none,,2560x1440,,en-us
13289484,59,567021,free,pro,pro,,1920x1080,Executive / Management,en
13201286,60,607017,free,pro,pro,,1280x800,Executive / Management,en
13201610,61,1153077,free,free,pro,ssl,1440x900,Marketer,en
13944462,62,563193,free,pro,pro,,2560x1440,Executive / Management,en
13475299,63,12079092,free,free,basic,,1440x900,Executive / Management,en-gb
14068257,64,967050,free,pro,enterprise,,1440x900,,en
12826553,65,568986,free,free,basic,,1920x1080,,en-us
13020422,66,10004187,free,free,enterprise,,1366x768,,en
14313091,67,605880,free,free,pro,sites,1920x1080,Marketer,en
12885748,68,774513,free,free,enterprise,,1920x1080,Executive / Management,en-gb
13681579,69,648552,free,pro,pro,reporting,1920x1080,Executive / Management,en
14054419,70,7312776,free,free,pro,,1920x1200,,en-us
13177334,71,654552,free,pro,enterprise,reporting,1440x900,Executive / Management,en
13168340,72,657987,free,pro,enterprise,reporting|ads,1920x1080,Executive / Management,en-ie
14113767,73,5152377,none,none,basic,,1366x768,Executive / Management,en
13201230,74,1156368,free,pro,pro,ads,1280x720,Executive / Management,it
13344351,75,1716561,free,pro,enterprise,reporting|ads,1440x900,Executive / Management,en-ca
14127150,76,133023,none,none,enterprise,,1280x800,Executive / Management,en
13782125,77,715158,free,free,basic,,1440x960,,en
13889404,78,1000392,free,pro,pro,ads,1440x900,Marketer,sv
13079173,79,727500,free,free,pro,,2144x1206,,en
13668808,80,1670658,none,none,pro,,1440x900,Marketer,en
13344893,81,1432956,free,pro,enterprise,ssl,1707x960,Executive / Management,en
13502981,82,1524636,free,free,pro,,1920x1080,,en-gb
14382679,83,10996611,free,free,none,,1600x900,Marketer,en
13352808,84,683448,free,pro,pro,reporting,1366x768,Marketer,en
12834987,85,1662969,free,free,free,,1920x1080,Marketer,en-gb
14032788,86,818604,free,free,pro,,1080x720,I do a little bit of everything,en
13205087,87,6282807,none,none,basic,,1366x768,,en
12916027,88,820173,free,pro,pro,reporting,1920x1200,Executive / Management,en
13263285,89,11052204,free,free,free,,1920x1080,,fr
14238480,90,937338,none,none,enterprise,sites,1639x922,Partner / Agency / Freelancer,en
13529016,91,4718601,free,pro,pro,reporting,1920x1080,,en-us
14233405,92,679611,free,pro,enterprise,sites,1500x1000,,en
13293442,93,885282,free,pro,pro,,1920x1080,,en
14129804,94,902598,none,none,pro,,1920x1080,,en
13896188,95,902610,free,free,enterprise,,1920x1080,,en
